merchant_name,category_id,category_name
Magnit-it,85945,Держатели для планшетов
Music Land,85945,Держатели для планшетов
PremiumGOODS,85945,Держатели для планшетов
Smart Technology,85945,Держатели для планшетов
Smartbuy Казахстан-HLK,85945,Держатели для планшетов
TopShop,85945,Держатели для планшетов
_ALGA_,85945,Держатели для планшетов
"ИП ""Кокозенко",85945,Держатели для планшетов
ИП ARSLAN,85945,Держатели для планшетов
ИП G.R,85945,Держатели для планшетов
ИП Оразбаев,85945,Держатели для планшетов
О'КЕЙ,85945,Держатели для планшетов
Формула Уюта. Оригинальные товары от шведского бренда.,85945,Держатели для планшетов
Mechta.kz,94632,Защитные пленки и стекла для планшетов
ИП QPICK,94632,Защитные пленки и стекла для планшетов
Discount shop,85957,Чехлы для электронных книг
EAST BREEZE,85957,Чехлы для электронных книг
Fora,85957,Чехлы для электронных книг
Fresh breeze,85957,Чехлы для электронных книг
Mechta.kz,85957,Чехлы для электронных книг
MegaNetwork.kz,85957,Чехлы для электронных книг
Smart Technology,85957,Чехлы для электронных книг
Top-sale,85957,Чехлы для электронных книг
Xiaomi Store Almaty,85957,Чехлы для электронных книг
_ALGA_,85957,Чехлы для электронных книг
ИП QPICK,85957,Чехлы для электронных книг
О'КЕЙ,85957,Чехлы для электронных книг
1.kz,57721,Док-станции для ноутбуков
2People,57721,Док-станции для ноутбуков
AVLINE ELECTRONICS,57721,Док-станции для ноутбуков
Artface Сompany,57721,Док-станции для ноутбуков
BEST PRICE,57721,Док-станции для ноутбуков
Best-Market,57721,Док-станции для ноутбуков
EAST BREEZE,57721,Док-станции для ноутбуков
Fora,57721,Док-станции для ноутбуков
Fresh breeze,57721,Док-станции для ноутбуков
GADGET TIME,57721,Док-станции для ноутбуков
GoodZone,57721,Док-станции для ноутбуков
Hoco.kz,57721,Док-станции для ноутбуков
KupiSam.kz,57721,Док-станции для ноутбуков
LUXE SHOP,57721,Док-станции для ноутбуков
Magnit-it,57721,Док-станции для ноутбуков
Mechta.kz,57721,Док-станции для ноутбуков
MegaNetwork.kz,57721,Док-станции для ноутбуков
Mobilion 2,57721,Док-станции для ноутбуков
New case,57721,Док-станции для ноутбуков
Power Plus,57721,Док-станции для ноутбуков
Pro-integrator,57721,Док-станции для ноутбуков
Qural-Saiman,57721,Док-станции для ноутбуков
SIN.KZ,57721,Док-станции для ноутбуков
Sale. Kz,57721,Док-станции для ноутбуков
Sauda24.kz,57721,Док-станции для ноутбуков
Smart Technology,57721,Док-станции для ноутбуков
SmartLife,57721,Док-станции для ноутбуков
Smartbuy Казахстан-HLK,57721,Док-станции для ноутбуков
Smartshop,57721,Док-станции для ноутбуков
Sulpak,57721,Док-станции для ноутбуков
SuperSale,57721,Док-станции для ноутбуков
TANNAT,57721,Док-станции для ноутбуков
TechnoDom.kz,57721,Док-станции для ноутбуков
Tehnogrup KZ,57721,Док-станции для ноутбуков
TerraByte.kz,57721,Док-станции для ноутбуков
Top-sale,57721,Док-станции для ноутбуков
TopShop,57721,Док-станции для ноутбуков
Vertex,57721,Док-станции для ноутбуков
XAUA,57721,Док-станции для ноутбуков
Xiaomi store official,57721,Док-станции для ноутбуков
_ALGA_,57721,Док-станции для ноутбуков
biggadget,57721,Док-станции для ноутбуков
ecost.kz,57721,Док-станции для ноутбуков
iSpace,57721,Док-станции для ноутбуков
«Best Erke»,57721,Док-станции для ноутбуков
Безопасный Дом,57721,Док-станции для ноутбуков
ИП Goodki,57721,Док-станции для ноутбуков
ИП QPICK,57721,Док-станции для ноутбуков
Империя чехлов,57721,Док-станции для ноутбуков
Интернет-магазин AJPro,57721,Док-станции для ноутбуков
Казахтелеком Магазин,57721,Док-станции для ноутбуков
О'КЕЙ,57721,Док-станции для ноутбуков
ПРИОЛЬ,57721,Док-станции для ноутбуков
Планета Электроники,57721,Док-станции для ноутбуков
"ТОО ""ЭЙЧ-СИ",57721,Док-станции для ноутбуков
2People,87478,Замки для ноутбуков
EAST BREEZE,87478,Замки для ноутбуков
Fora,87478,Замки для ноутбуков
Fresh breeze,87478,Замки для ноутбуков
KupiSam.kz,87478,Замки для ноутбуков
Smart Technology,87478,Замки для ноутбуков
_ALGA_,87478,Замки для ноутбуков
ИП L-MARKET,87478,Замки для ноутбуков
ИП QPICK,87478,Замки для ноутбуков
Казахтелеком Магазин,87478,Замки для ноутбуков
О'КЕЙ,87478,Замки для ноутбуков
EAST BREEZE,94623,Защитные пленки и стекла для ноутбуков
Fora,94623,Защитные пленки и стекла для ноутбуков
Fresh breeze,94623,Защитные пленки и стекла для ноутбуков
Sapa&home,94623,Защитные пленки и стекла для ноутбуков
Smart Technology,94623,Защитные пленки и стекла для ноутбуков
_ALGA_,94623,Защитные пленки и стекла для ноутбуков
ИП OZZIE 22,94623,Защитные пленки и стекла для ноутбуков
О'КЕЙ,94623,Защитные пленки и стекла для ноутбуков
24itkz,87014,Клавиатуры для ноутбуков
M-Tech,87014,Клавиатуры для ноутбуков
