merchant_name,root_category_id,root_category_name
Top Solution,3677,Unknown
Top store,3677,Unknown
Top-sale,3677,Unknown
TopShop,3677,Unknown
TopStoreKz,3677,Unknown
Totu_kz,3677,Unknown
Trend Service,3677,Unknown
Turan,3677,Unknown
UMMAH STORE,3677,Unknown
Update.kz,3677,Unknown
Upgrade_shop,3677,Unknown
VerBat,3677,Unknown
Vertex,3677,Unknown
WorldMobileKz,3677,Unknown
XCELL.XCELL,3677,Unknown
XL-Service,3677,Unknown
Xanstore,3677,Unknown
Xiaomi store official,3677,Unknown
Z-Mobile,3677,Unknown
ZERONET,3677,Unknown
Zefkzz,3677,Unknown
Zemfiraphone,3677,Unknown
Zulfiraphone,3677,Unknown
_ALGA_,3677,Unknown
_Тамерлан_,3677,Unknown
adal_mobile,3677,Unknown
apples,3677,Unknown
baypak,3677,Unknown
i Salem,3677,Unknown
iBoom,3677,Unknown
iPro,3677,Unknown
iPro_Almaty,3677,Unknown
iPro_kz,3677,Unknown
iSell,3677,Unknown
iShop.kz,3677,Unknown
iSpace,3677,Unknown
iconnect_kz,3677,Unknown
iПланета,3677,Unknown
k_store_kz,3677,Unknown
mobiline.kzz,3677,Unknown
onemi.kz,3677,Unknown
sankaz,3677,Unknown
sankaz 1,3677,Unknown
sankaz 2,3677,Unknown
t_mobile_kz,3677,Unknown
tell.kz,3677,Unknown
Алия,3677,Unknown
Амирлан,3677,Unknown
Асылым,3677,Unknown
Атмосфера,3677,Unknown
Боргоз,3677,Unknown
Гарышкер,3677,Unknown
ДОЛЯМИ.kz,3677,Unknown
ДОМ СЧАСТЬЕ,3677,Unknown
Жасмин,3677,Unknown
Золотая лавка от Johnny Depp,3677,Unknown
ИП Goodki,3677,Unknown
ИП Maratovna,3677,Unknown
ИП Nofilet,3677,Unknown
ИП PREMIUM SMARTPHONE,3677,Unknown
ИП QPICK,3677,Unknown
ИП Wolf,3677,Unknown
ИП «Айя»,3677,Unknown
ИП АЙДАРОВА,3677,Unknown
ИП Байгузиева,3677,Unknown
ИП Бейсенбек,3677,Unknown
ИП Дінмұхамед,3677,Unknown
ИП ЖАНАБАЕВ БАУРЖАН ЗЕЙНУЛЛОВИЧ,3677,Unknown
ИП Жакушова,3677,Unknown
ИП Жараспай,3677,Unknown
ИП Жумалина,3677,Unknown
ИП Калауова,3677,Unknown
ИП Касенова,3677,Unknown
ИП Куанышев С.Д.,3677,Unknown
ИП ЛИДЕР,3677,Unknown
ИП МАЖЕНОВ,3677,Unknown
ИП МУСАХАНОВА,3677,Unknown
ИП САПАРОВА,3677,Unknown
ИП Сагинаев М.С.,3677,Unknown
ИП Сапина,3677,Unknown
ИП Скендирова,3677,Unknown
ИП Сулейменова,3677,Unknown
ИП Элина,3677,Unknown
Империя чехлов,3677,Unknown
Ип Болатбек,3677,Unknown
Ип Гауһар,3677,Unknown
Ип Токмурзина,3677,Unknown
Ип Шәкімов,3677,Unknown
Ип Қартжанова Тілектес,3677,Unknown
КАЙНАР,3677,Unknown
Кави Syltan,3677,Unknown
Казахтелеком Магазин,3677,Unknown
МОБИЛКА,3677,Unknown
Магазин Мобилла,3677,Unknown
Медина Амина,3677,Unknown
Мобильник,3677,Unknown
Мурат,3677,Unknown
О'КЕЙ,3677,Unknown
Оригинал,3677,Unknown
ПРИОЛЬ,3677,Unknown
Планета Электроники,3677,Unknown
Пять Звезд,3677,Unknown
Смарт шоп,3677,Unknown
"ТОО ""MOBILE-KZ1",3677,Unknown
Техно,3677,Unknown
ТехноGRAD,3677,Unknown
ТехноМир,3677,Unknown
Точка Связи,3677,Unknown
ФУТУРАМА,3677,Unknown
Фирменный магазин (Evrika Retail Group),3677,Unknown
Электро тайм,3677,Unknown
Юпитер,3677,Unknown
Яблоко,3677,Unknown
1.kz,3703,Unknown
2People,3703,Unknown
3D Assistant,3703,Unknown
5 Звезд,3703,Unknown
777ILS,3703,Unknown
777Mobile,3703,Unknown
A-T STORE,3703,Unknown
A.M_mobile,3703,Unknown
AAS Joie,3703,Unknown
ABC Retail,3703,Unknown
ADK Store,3703,Unknown
AITELEFONIKA,3703,Unknown
AKMTELL,3703,Unknown
ALL IN,3703,Unknown
ALLO-TELECOM,3703,Unknown
ALLO_TSUM,3703,Unknown
ALSER.kz,3703,Unknown
AMARA,3703,Unknown
AMERICANO,3703,Unknown
AQ-Store,3703,Unknown
ARLAN STORE,3703,Unknown
ASER Mobile,3703,Unknown
ATAKENT,3703,Unknown
AT_phone,3703,Unknown
AZONSHOP,3703,Unknown
AZONSTORE,3703,Unknown
AZONSTORE.KZ,3703,Unknown
AZONSTORE.KZZ,3703,Unknown
A_A store,3703,Unknown
Abal,3703,Unknown
AiDM-kz,3703,Unknown
Aiker_kz,3703,Unknown
Aikerei,3703,Unknown
Ailan Gold,3703,Unknown
AiymTel,3703,Unknown
Aizmobile,3703,Unknown
Aksuek,3703,Unknown
Aleksar,3703,Unknown
All-COM,3703,Unknown
All-store,3703,Unknown
Allmart,3703,Unknown
AlloMarket,3703,Unknown
AlloPhone01,3703,Unknown
Alma Tel,3703,Unknown
AlmaJuice,3703,Unknown
Almatel,3703,Unknown
Almaty_posuda,3703,Unknown
Almaz,3703,Unknown
Alo-Alo,3703,Unknown
Amira,3703,Unknown
Anni Min,3703,Unknown
Anzhela shop,3703,Unknown
Apple Division,3703,Unknown
Appleone.kz,3703,Unknown
Artface Сompany,3703,Unknown
AslanTel,3703,Unknown
Astana-mobile,3703,Unknown
Atakent.mobile,3703,Unknown
AuraTech,3703,Unknown
Azi,3703,Unknown
BAI__mobile,3703,Unknown
BBBmobile,3703,Unknown
BS KAZAKHSTAN,3703,Unknown
BakhAi,3703,Unknown
Batyrstore,3703,Unknown
Bek_store.kz,3703,Unknown
Best-Market,3703,Unknown
Bi-store,3703,Unknown
Boost Mobile,3703,Unknown
BrandMobile,3703,Unknown
Budgetshop,3703,Unknown
Buy Luxury Mobile,3703,Unknown
BuySell,3703,Unknown
Cellphone.kz,3703,Unknown
Crazy_case,3703,Unknown
D.J.S. Mobile,3703,Unknown
DANALI,3703,Unknown
DAREL Trade,3703,Unknown
DELLA SHOP,3703,Unknown
DIGITAL HOUSE,3703,Unknown
DISTI,3703,Unknown
DIZI STORE,3703,Unknown
DJO Good Service,3703,Unknown
DK ylbek GOLD,3703,Unknown
DLT store,3703,Unknown
DNA Tech,3703,Unknown
DPDS,3703,Unknown
DSilk Road,3703,Unknown
Dak_seller,3703,Unknown
Deinerisphone,3703,Unknown
Discount shop,3703,Unknown
Distore,3703,Unknown
Dora,3703,Unknown
E-COM.kz,3703,Unknown
EAST BREEZE,3703,Unknown
ERCOM,3703,Unknown
EXPRESS,3703,Unknown
EasyTech,3703,Unknown
Ecomi-kz,3703,Unknown
Electrobot,3703,Unknown
Eleon KZ,3703,Unknown
Esale,3703,Unknown
Eva Phone,3703,Unknown
Evrika,3703,Unknown
FARA,3703,Unknown
FASTSHOP,3703,Unknown
FDR,3703,Unknown
FLUSSO,3703,Unknown
FastDev Trade,3703,Unknown
Fora,3703,Unknown
Fresh breeze,3703,Unknown
G-SHOP,3703,Unknown
G-store,3703,Unknown
GADGETKZ,3703,Unknown
GB-Academy,3703,Unknown
GET MOBILE,3703,Unknown
GIA origin,3703,Unknown
GIA-Store,3703,Unknown
Gadget Store,3703,Unknown
GamerZ,3703,Unknown
Getmobile.pro,3703,Unknown
Gold M,3703,Unknown
Gold_Mobile,3703,Unknown
Goocstore,3703,Unknown
GoodLine,3703,Unknown
Greensmart,3703,Unknown
Gudok,3703,Unknown
HALYK-EAC 1,3703,Unknown
HabM,3703,Unknown
Hi-Tech (Хайтек),3703,Unknown
Huawei Authorized Store,3703,Unknown
ICENTER.KZ,3703,Unknown
INFINIX OFFICIAL STORE,3703,Unknown
INNOVATEC,3703,Unknown
IPZONE_KZ,3703,Unknown
IT Future Кұрылыс,3703,Unknown
Ilikan,3703,Unknown
InMarket,3703,Unknown
IrsMarket,3703,Unknown
J-Market,3703,Unknown
J-Mart,3703,Unknown
JQ_store almaty,3703,Unknown
KAZ-SHOP.NET,3703,Unknown
KRDshop,3703,Unknown
KURSORKZ,3703,Unknown
KazMobile,3703,Unknown
Khan Group,3703,Unknown
Khan-Tell,3703,Unknown
Kingmobile.kz,3703,Unknown
Kizash.KZ,3703,Unknown
Knopka-kz,3703,Unknown
LC GADGET,3703,Unknown
LION,3703,Unknown
Lary shop,3703,Unknown
Level,3703,Unknown
Limon.kz,3703,Unknown
Lord,3703,Unknown
Luxury,3703,Unknown
M-Mobile,3703,Unknown
M-TexNo,3703,Unknown
MAGNAT GADGET,3703,Unknown
MEGATEL,3703,Unknown
METANOIA,3703,Unknown
MF- Shamoi,3703,Unknown
MN.KZ.PHONE,3703,Unknown
MOBIBOOK,3703,Unknown
MOBILAGID,3703,Unknown
MOBILE CITY 001,3703,Unknown
MOBILS,3703,Unknown
Mansur.kz,3703,Unknown
Mari,3703,Unknown
MarketPlace,3703,Unknown
MarketShop,3703,Unknown
MaxPhoneStore,3703,Unknown
MaxiExpress,3703,Unknown
Mechta.kz,3703,Unknown
MegaGadget,3703,Unknown
MegaNetwork.kz,3703,Unknown
Meta_store,3703,Unknown
Millennium-Phone,3703,Unknown
